province,regency,district,village,postal
"Aceh","Kabupaten Aceh Selatan","Bakongan","Ujong Mangki","23773"
"Aceh","Kabupaten Aceh Selatan","Bakongan","Gampong Drien","23773"
"Aceh","Kabupaten Aceh Selatan","Bakongan","Padang Beurahan","23773"
"Aceh","Kabupaten Aceh Selatan","Kluet Utara","Limau Purut","23771"
"Aceh","Kabupaten Aceh Selatan","Kluet Utara","Ruak","23771"
"Aceh","Kabupaten Aceh Selatan","Kluet Utara","Suaq Geuringgeng","23771"
"Aceh","Kabupaten Aceh Selatan","Kluet Utara","Pasi Kuala Ba'u","23771"
"Aceh","Kabupaten Aceh Selatan","Kluet Selatan","Suaq Bakung","23772"
"Aceh","Kabupaten Aceh Selatan","Kluet Selatan","Gampong Luar","23772"
"Aceh","Kabupaten Aceh Selatan","Kluet Selatan","Pasi Meurapat","23772"
"Aceh","Kabupaten Aceh Selatan","Kluet Selatan","Geulumbuk","23772"
"Aceh","Kabupaten Aceh Selatan","Kluet Selatan","Pasie Lembang","23772"
"Aceh","Kabupaten Aceh Selatan","Meukek","Ie Dingen","23754"
"Aceh","Kabupaten Aceh Selatan","Meukek","Arun Tunggai","23754"
"Aceh","Kabupaten Aceh Selatan","Meukek","Ie Buboh","23754"
"Aceh","Kabupaten Aceh Selatan","Samadua","Alur Seumerah","23752"
"Aceh","Kabupaten Aceh Selatan","Sawang","Blang Geulinggang","23753"
"Aceh","Kabupaten Aceh Selatan","Sawang","Sawang Ba'u","23753"
"Aceh","Kabupaten Aceh Selatan","Trumon","Ujong Tanoh","23774"
"Aceh","Kabupaten Aceh Selatan","Trumon","Sigleng","23774"
"Aceh","Kabupaten Aceh Selatan","Trumon","Teupin Tinggi","23774"
"Aceh","Kabupaten Aceh Selatan","Pasie Raja","Pucok Krueng","23755"
"Aceh","Kabupaten Aceh Selatan","Pasie Raja","Paya Ateuk","23755"
"Aceh","Kabupaten Aceh Selatan","Pasie Raja","Ujong Batee","23755"
"Aceh","Kabupaten Aceh Selatan","Pasie Raja","Ie Mirah","23755"
"Aceh","Kabupaten Aceh Selatan","Pasie Raja","Pasie Rasian","23755"
"Aceh","Kabupaten Aceh Selatan","Labuhanhaji Timur","Peuneulop","23758"
"Aceh","Kabupaten Aceh Selatan","Labuhanhaji Barat","Teungoh Iboh","23757"
